Company,Country of Origin,Model,Number of cc,Horsepower,Torque,Transmission Type,Drivetrain,Number of Seating,Price (in INR),Year,Looks,Body Type,Engine Type,Number of Cylinders,HP_cleaned,CC,Efficiency,Engine_Class
BMW,Germany,G 310 GS,313,34 hp,28 Nm,6-speed Manual,Chain,2,"3,00,000",2023,Adventure,Adventure,Single,1,34.0,313.0,0.1086,Entry-Level (<400cc)
BMW,Germany,G 310 R,313,34 hp,28 Nm,6-speed Manual,Chain,2,"2,50,000",2023,Sporty,Roadster,Single,1,34.0,313.0,0.1086,Entry-Level (<400cc)
BMW,Germany,F 850 GS,853,95 hp,92 Nm,6-speed Manual,Shaft,2,"6,00,000",2023,Adventure,Adventure,Parallel-twin,2,95.0,853.0,0.1114,Sport (700–949cc)
BMW,Germany,F 850 GS Adventure,853,95 hp,92 Nm,6-speed Manual,Shaft,2,"8,00,000",2023,Adventure,Adventure,Parallel-twin,2,95.0,853.0,0.1114,Sport (700–949cc)
BMW,Germany,S 1000 RR,999,199 hp,113 Nm,6-speed Manual,Chain,2,"16,00,000",2023,Sporty,Superbike,Liquid-cooled inline-4,4,199.0,999.0,0.1992,Superbike/Liter (950cc+)
BMW,Germany,S 1000 R,999,165 hp,112 Nm,6-speed Manual,Chain,2,"12,00,000",2023,Sporty,Roadster,Liquid-cooled inline-4,4,165.0,999.0,0.1652,Superbike/Liter (950cc+)
Kawasaki,Japan,Ninja 300,296,39 PS @ 11000 rpm,27 Nm @ 10000 rpm,6-speed manual,Chain,2,3.43 Lakh,2023,Classy,Sports,"Liquid-cooled, parallel-twin",2,38.47,296.0,0.13,Entry-Level (<400cc)
Kawasaki,Japan,Ninja 400,399,"45 PS @ 10,000 rpm",39 Nm @ 8000 rpm,6-speed manual,Chain,2,5.19 Lakh,2023,Classy,Sports,"Liquid-cooled, parallel-twin",2,44.38,399.0,0.1112,Entry-Level (<400cc)
Kawasaki,Japan,Ninja 650,649,67 PS @ 8000 rpm,66 Nm @ 6500 rpm,6-speed manual,Chain,2,6.65 Lakh,2023,Classy,Sports,"Liquid-cooled, parallel-twin",2,66.08,649.0,0.1018,Mid-Range (400–699cc)
Kawasaki,Japan,Z900,948,125 PS @ 9500 rpm,98.6 Nm @ 7700 rpm,6-speed manual,Chain,2,9.11 Lakh,2023,Aggressive,Naked,"Liquid-cooled, four-cylinder",4,123.29,948.0,0.1301,Sport (700–949cc)
Kawasaki,Japan,Z H2,998,"197 PS @ 11,000 rpm",140 Nm @ 8500 rpm,6-speed manual,Shaft,2,23.02 Lakh,2023,Aggressive,Naked,"Supercharged, four-cylinder",4,194.3,998.0,0.1947,Superbike/Liter (950cc+)
Kawasaki,Japan,Vulcan S,649,60 PS @ 6500 rpm,62 Nm @ 6500 rpm,6-speed manual,Belt,2,6.95 Lakh,2023,Classic,Cruiser,"Liquid-cooled, parallel-twin",2,59.18,649.0,0.0912,Mid-Range (400–699cc)
